DateTime,Open,High,Low,Close,LegVWAP,DeltaIntensity
2026-07-09 14:33:31,29921.74,29924.50,29909.00,29916.69,0.00,-3.00
2026-07-09 14:34:28,29919.21,29933.50,29913.75,29924.50,0.00,-2.00
2026-07-09 14:36:06,29921.86,29944.25,29921.86,29936.44,0.00,-1.00
2026-07-09 14:37:20,29929.15,29943.00,29929.15,29937.75,0.00,-1.00
2026-07-09 14:39:18,29933.45,29945.50,29932.00,29937.62,0.00,-1.00
2026-07-09 14:41:08,29935.54,29937.25,29925.75,29931.81,0.00,-1.00
2026-07-09 14:42:34,29933.68,29940.00,29929.50,29934.88,0.00,-1.00
2026-07-09 14:44:19,29934.28,29949.25,29934.28,29942.56,0.00,-1.00
2026-07-09 14:45:27,29938.42,29948.25,29936.25,29944.38,0.00,-1.00
2026-07-09 14:47:20,29941.40,29952.25,29941.40,29946.25,0.00,-1.00
2026-07-09 14:48:37,29943.82,29948.00,29930.00,29937.75,0.00,-2.00
2026-07-09 14:50:00,29940.79,29940.79,29909.00,29922.81,0.00,-2.00
2026-07-09 14:50:14,29931.80,29931.80,29917.75,29920.19,0.00,-2.00
2026-07-09 14:50:46,29925.99,29930.00,29917.00,29923.31,0.00,-2.00
2026-07-09 14:51:34,29924.65,29929.75,29914.50,29923.81,0.00,-1.00
2026-07-09 14:52:21,29924.23,29925.75,29915.00,29920.06,0.00,-2.00
2026-07-09 14:53:23,29922.15,29922.15,29911.50,29915.50,0.00,-2.00
2026-07-09 14:53:55,29918.82,29918.82,29904.50,29910.81,0.00,-2.00
2026-07-09 14:54:30,29914.82,29918.00,29902.75,29908.44,0.00,-3.00
2026-07-09 14:54:50,29911.63,29919.75,29896.75,29909.19,0.00,-2.00
2026-07-09 14:55:00,29910.41,29930.25,29910.41,29922.88,0.00,-2.00
2026-07-09 14:55:19,29916.64,29935.50,29916.64,29928.06,0.00,-2.00
2026-07-09 14:56:03,29922.35,29937.00,29922.25,29930.62,0.00,-2.00
2026-07-09 14:57:09,29926.49,29950.25,29926.49,29943.25,0.00,-2.00
2026-07-09 14:57:45,29934.87,29954.75,29934.87,29950.75,0.00,2.00
2026-07-09 14:58:18,29942.81,29954.50,29942.81,29948.12,0.00,2.00
2026-07-09 14:58:55,29945.47,29948.50,29936.25,29943.88,0.00,2.00
2026-07-09 14:59:06,29944.67,29948.75,29939.75,29944.12,0.00,-2.00
