DateTime,Open,High,Low,Close,Volume,BidVolume,AskVolume
2026-07-20 04:00:00,28879.25,28915.75,28854.00,28904.75,1688,864,824
2026-07-20 04:30:00,28904.25,28998.25,28898.00,28952.50,4137,1981,2156
2026-07-20 05:00:00,28952.75,28962.25,28920.50,28956.75,2636,1210,1426
2026-07-20 05:30:00,28955.00,28980.00,28947.25,28969.00,2180,1063,1117
2026-07-20 06:00:00,28970.75,29026.50,28963.75,28998.75,3992,2084,1908
2026-07-20 06:30:00,28997.75,29109.50,28995.50,29072.50,9745,4622,5123
2026-07-20 07:00:00,29072.50,29075.50,28981.75,29034.75,6087,3127,2960
2026-07-20 07:30:00,29036.00,29046.00,29001.00,29025.00,4681,2578,2103
2026-07-20 08:00:00,29025.00,29060.00,29016.75,29045.00,7794,3951,3843
2026-07-20 08:30:00,29045.00,29192.50,28979.75,28994.75,60539,30303,30236
2026-07-20 09:00:00,28996.00,29049.00,28908.00,29030.75,43140,21528,21612
2026-07-20 09:30:00,29030.75,29053.75,28874.00,28891.50,32176,16615,15561
2026-07-20 10:00:00,28891.75,29024.50,28873.25,29015.50,29828,14658,15170
2026-07-20 10:30:00,29015.75,29066.75,28974.00,29050.75,20781,10213,10568
2026-07-20 11:00:00,29050.75,29119.00,29028.75,29084.50,20424,10344,10080
2026-07-20 11:30:00,29085.00,29101.25,28956.00,28983.75,25691,13507,12184
2026-07-20 12:00:00,28983.00,28999.75,28910.25,28957.25,17892,8791,9101
2026-07-20 12:30:00,28958.25,28982.75,28900.75,28956.50,14794,7361,7433
2026-07-20 13:00:00,28957.00,29009.75,28932.00,28949.00,15111,7764,7347
2026-07-20 13:30:00,28949.00,28949.00,28855.75,28870.00,19957,10233,9724
2026-07-20 14:00:00,28871.00,28896.00,28796.50,28855.50,23416,12074,11342
2026-07-20 14:30:00,28855.75,28894.25,28767.75,28785.50,34823,17993,16830
2026-07-20 15:00:00,28784.75,28831.50,28750.50,28759.25,10895,5888,5007
2026-07-20 15:30:00,28759.00,28785.75,28757.75,28777.00,2557,1245,1312
2026-07-20 17:00:00,28778.25,28803.50,28705.00,28719.75,3126,1621,1505
2026-07-20 17:30:00,28721.50,28734.25,28701.00,28717.75,1744,879,865
2026-07-20 18:00:00,28717.75,28822.00,28711.25,28819.00,3391,1541,1850
2026-07-20 18:30:00,28818.75,28832.50,28757.75,28779.25,3440,1717,1723
2026-07-20 19:00:00,28777.50,28834.50,28707.25,28816.50,7013,3426,3587
2026-07-20 19:30:00,28818.25,28897.00,28813.75,28856.25,4885,2461,2424
2026-07-20 20:00:00,28859.75,28912.50,28837.50,28891.00,4226,2069,2157
2026-07-20 20:30:00,28891.75,28920.50,28866.50,28885.25,3172,1492,1680
2026-07-20 21:00:00,28885.25,28937.75,28859.00,28894.50,3212,1557,1655
2026-07-20 21:30:00,28894.50,28956.75,28894.25,28955.00,2558,1224,1334
2026-07-20 22:00:00,28954.00,28997.50,28951.25,28996.25,2278,1058,1220
2026-07-20 22:30:00,28996.25,29078.00,28992.00,29072.50,5350,2745,2605
2026-07-20 23:00:00,29073.00,29089.50,29055.75,29064.00,3123,1690,1433
2026-07-20 23:30:00,29065.25,29076.75,29048.00,29054.00,1985,993,992
2026-07-21 00:00:00,29055.75,29071.25,29016.50,29066.75,2569,1296,1273
2026-07-21 00:30:00,29066.00,29105.00,29039.75,29098.25,3088,1451,1637
2026-07-21 01:00:00,29096.25,29143.50,29096.25,29112.25,4344,2009,2335
2026-07-21 01:30:00,29113.25,29155.50,29113.25,29146.50,2558,1181,1377
2026-07-21 02:00:00,29147.75,29162.00,29092.50,29103.00,3464,1766,1698
2026-07-21 02:30:00,29102.00,29127.00,29088.00,29117.25,2539,1184,1355
2026-07-21 03:00:00,29118.00,29168.00,29104.00,29168.00,3507,1678,1829
2026-07-21 03:30:00,29167.50,29176.75,29149.75,29167.00,2799,1549,1250
2026-07-21 04:00:00,29168.00,29195.25,29162.50,29166.75,2780,1396,1384
2026-07-21 04:30:00,29165.50,29185.50,29151.25,29155.00,2313,1109,1204
2026-07-21 05:00:00,29155.25,29198.50,29154.75,29173.25,2552,1178,1374
2026-07-21 05:30:00,29174.25,29207.00,29155.50,29166.25,3133,1467,1666
2026-07-21 06:00:00,29167.75,29184.00,29119.50,29129.75,4458,2617,1841
2026-07-21 06:30:00,29129.00,29182.00,29126.00,29154.25,4213,2205,2008
2026-07-21 07:00:00,29153.50,29195.25,29133.25,29134.25,5132,2635,2497
2026-07-21 07:30:00,29133.00,29186.75,29111.50,29171.50,6401,3171,3230
2026-07-21 08:00:00,29173.50,29225.00,29155.75,29221.50,7686,3745,3941
2026-07-21 08:30:00,29222.50,29246.25,29092.50,29152.75,60536,30516,30020
2026-07-21 09:00:00,29153.50,29218.25,29064.25,29207.25,42110,20954,21156
2026-07-21 09:30:00,29207.25,29256.50,29162.00,29237.50,29746,14990,14756
2026-07-21 10:00:00,29237.25,29320.00,29181.00,29307.50,28465,14345,14120
2026-07-21 10:30:00,29307.00,29308.50,29256.25,29259.25,20019,10666,9353
2026-07-21 11:00:00,29259.25,29337.75,29254.25,29312.50,18178,9155,9023
2026-07-21 11:30:00,29313.00,29352.50,29302.00,29331.75,14656,7503,7153
2026-07-21 12:00:00,29331.50,29355.50,29323.00,29333.00,12048,6226,5822
2026-07-21 12:30:00,29333.25,29364.75,29327.25,29341.25,12343,6172,6171
2026-07-21 13:00:00,29341.50,29361.75,29318.50,29325.00,11237,5781,5456
2026-07-21 13:30:00,29325.25,29355.75,29310.50,29328.50,12888,6689,6199
2026-07-21 14:00:00,29328.25,29335.50,29290.75,29293.75,14854,7632,7222
2026-07-21 14:30:00,29293.25,29352.00,29290.75,29311.50,37125,18877,18248
2026-07-21 15:00:00,29311.75,29316.75,29283.75,29292.50,11841,5918,5923
2026-07-21 15:30:00,29292.50,29304.25,29279.00,29289.75,3612,1825,1787
2026-07-21 17:00:00,29310.75,29310.75,29265.00,29271.00,2181,1153,1028
2026-07-21 17:30:00,29270.00,29284.00,29253.00,29273.75,1531,801,730
2026-07-21 18:00:00,29273.50,29304.75,29261.00,29297.25,1742,802,940
2026-07-21 18:30:00,29296.25,29304.50,29268.00,29298.50,2137,1056,1081
2026-07-21 19:00:00,29298.50,29337.00,29286.00,29299.00,4389,2059,2330
2026-07-21 19:30:00,29300.25,29305.50,29258.25,29288.00,3299,1643,1656
2026-07-21 20:00:00,29289.75,29293.75,29234.50,29246.00,3387,1715,1672
2026-07-21 20:30:00,29243.00,29307.00,29232.00,29277.25,3160,1545,1615
2026-07-21 21:00:00,29277.25,29284.50,29238.25,29276.00,2665,1337,1328
2026-07-21 21:30:00,29275.50,29277.25,29228.00,29238.25,2259,1209,1050
2026-07-21 22:00:00,29239.25,29262.00,29210.00,29262.00,2982,1423,1559
2026-07-21 22:30:00,29260.25,29267.25,29190.25,29200.00,2934,1595,1339
2026-07-21 23:00:00,29199.00,29238.50,29187.75,29234.00,2063,977,1086
2026-07-21 23:30:00,29231.75,29232.50,29193.75,29221.50,1859,1091,768
2026-07-22 00:00:00,29222.25,29225.25,29166.00,29166.00,2359,1317,1042
2026-07-22 00:30:00,29165.50,29183.75,29140.25,29172.75,3067,1583,1484
2026-07-22 01:00:00,29171.25,29173.00,29060.00,29079.50,4987,2861,2126
2026-07-22 01:30:00,29077.75,29115.50,29062.25,29092.75,3758,1808,1950
2026-07-22 02:00:00,29091.75,29124.50,29051.00,29119.25,4145,2029,2116
2026-07-22 02:30:00,29117.50,29123.75,29025.75,29056.00,4595,2419,2176
2026-07-22 03:00:00,29059.75,29107.00,29038.75,29100.25,4066,2000,2066
2026-07-22 03:30:00,29101.25,29117.75,29079.00,29110.00,1816,934,882
2026-07-22 04:00:00,29110.25,29150.00,29106.25,29126.25,2661,1234,1427
2026-07-22 04:30:00,29125.00,29128.50,29089.25,29127.00,2363,1144,1219
2026-07-22 05:00:00,29128.25,29168.50,29113.00,29161.25,3495,1574,1921
2026-07-22 05:30:00,29162.25,29173.00,29133.00,29153.00,2464,1287,1177
2026-07-22 06:00:00,29154.00,29164.75,29099.25,29101.75,3744,2084,1660
2026-07-22 06:30:00,29102.00,29114.50,29017.50,29054.00,6150,3199,2951
2026-07-22 07:00:00,29056.50,29071.00,28995.00,29027.00,6789,3474,3315
2026-07-22 07:30:00,29028.00,29068.75,28952.00,29017.25,11181,5840,5341
2026-07-22 08:00:00,29017.50,29099.00,29017.50,29089.75,8057,3816,4241
2026-07-22 08:30:00,29090.50,29277.25,29090.00,29276.75,56240,27321,28919
2026-07-22 09:00:00,29277.00,29283.75,29196.00,29220.00,38582,19994,18588
2026-07-22 09:30:00,29219.25,29260.25,29172.75,29241.00,29470,14722,14748
2026-07-22 10:00:00,29241.25,29342.25,29240.25,29324.50,25154,12000,13154
2026-07-22 10:30:00,29324.25,29335.50,29274.25,29329.50,19201,9657,9544
2026-07-22 11:00:00,29330.25,29335.00,29300.25,29311.00,12266,6221,6045
2026-07-22 11:30:00,29311.00,29328.25,29276.75,29310.50,12859,6380,6479
2026-07-22 12:00:00,29310.50,29331.25,29295.00,29306.00,12568,6160,6408
2026-07-22 12:30:00,29304.00,29320.00,29234.25,29244.25,15116,7908,7208
2026-07-22 13:00:00,29244.00,29271.25,29222.25,29239.00,16949,8430,8519
2026-07-22 13:30:00,29239.00,29259.00,29207.75,29245.25,14383,7464,6919
2026-07-22 14:00:00,29245.75,29260.00,29215.50,29253.00,13940,7272,6668
2026-07-22 14:30:00,29253.50,29254.25,29158.25,29161.00,30347,15883,14464
2026-07-22 15:00:00,29160.50,29260.00,29119.00,29217.50,23366,11854,11512
