Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Aggression, Sell Aggression
2026-7-30, 09:29:05.052002, 28224.50, 28239.75, 28188.50, 28239.75, 5250, 5034, 28223.13, 28222.67, 28214.13, 2707, 2543, 0.00, 28244.75
2026-7-30, 09:31:55.912002, 28239.75, 28246.50, 28216.00, 28226.50, 5250, 4952, 28232.19, 28229.67, 28231.25, 2721, 2529, 0.00, 0.00
2026-7-30, 09:35:08.449000, 28227.25, 28244.50, 28202.50, 28222.75, 5250, 4808, 28224.25, 28223.25, 28223.50, 2655, 2595, 0.00, 0.00
2026-7-30, 09:38:12.985003, 28222.75, 28241.00, 28206.00, 28206.00, 5250, 4935, 28218.94, 28217.67, 28223.50, 2680, 2570, 0.00, 0.00
2026-7-30, 09:42:55.279002, 28205.75, 28209.75, 28158.00, 28171.25, 5250, 4793, 28186.19, 28179.67, 28183.88, 2836, 2414, 0.00, 0.00
2026-7-30, 09:45:45.091003, 28171.25, 28196.00, 28130.50, 28135.00, 5250, 4871, 28158.19, 28153.83, 28163.25, 2831, 2419, 0.00, 0.00
2026-7-30, 09:48:47.098004, 28135.00, 28176.25, 28117.00, 28124.00, 5250, 4899, 28138.06, 28139.08, 28146.63, 2741, 2509, 0.00, 0.00
2026-7-30, 09:51:33.168002, 28124.25, 28129.00, 28063.00, 28070.00, 5250, 4728, 28096.56, 28087.33, 28096.00, 2809, 2441, 0.00, 0.00
2026-7-30, 09:54:47.599001, 28070.00, 28075.75, 28022.50, 28040.00, 5250, 4946, 28052.06, 28046.08, 28049.13, 2781, 2469, 0.00, 0.00
2026-7-30, 09:57:27.114000, 28039.50, 28094.75, 28037.00, 28072.50, 5250, 4921, 28060.94, 28068.08, 28065.88, 2385, 2865, 0.00, 0.00
2026-7-30, 09:59:57.983000, 28072.00, 28077.50, 28012.75, 28030.25, 5250, 4914, 28048.13, 28040.17, 28045.13, 2771, 2479, 0.00, 0.00
2026-7-30, 10:02:21.908001, 28030.25, 28113.50, 28020.75, 28098.50, 5250, 4194, 28065.75, 28077.58, 28067.13, 1897, 3353, 0.00, 0.00
2026-7-30, 10:04:20.797003, 28098.50, 28123.25, 28064.50, 28066.50, 5250, 4968, 28088.19, 28084.75, 28093.88, 2739, 2511, 0.00, 0.00
2026-7-30, 10:07:44.521001, 28067.00, 28137.75, 28054.75, 28081.25, 5250, 5013, 28085.19, 28091.25, 28096.25, 2488, 2762, 0.00, 0.00
2026-7-30, 10:11:13.466001, 28081.50, 28081.50, 28019.00, 28027.75, 5250, 4587, 28052.44, 28042.75, 28050.25, 2943, 2307, 0.00, 0.00
2026-7-30, 10:14:47.604000, 28027.50, 28076.25, 28006.25, 28028.25, 5250, 4382, 28034.56, 28036.92, 28041.25, 3017, 2233, 0.00, 0.00
2026-7-30, 10:17:41.565000, 28028.75, 28099.50, 28022.25, 28093.25, 5250, 4919, 28060.94, 28071.67, 28060.88, 2503, 2747, 0.00, 0.00
2026-7-30, 10:21:45.530000, 28093.25, 28093.25, 27996.25, 28000.00, 5250, 4877, 28045.69, 28029.83, 28044.75, 2875, 2375, 0.00, 0.00
2026-7-30, 10:26:11.120000, 28000.25, 28052.00, 27996.25, 28009.75, 5250, 4892, 28014.56, 28019.33, 28024.13, 2645, 2605, 0.00, 0.00
2026-7-30, 10:30:22.353000, 28009.00, 28071.75, 28005.25, 28071.75, 5250, 4792, 28039.44, 28049.58, 28038.50, 2610, 2640, 0.00, 0.00
2026-7-30, 10:34:57.395002, 28071.75, 28089.25, 28036.50, 28059.50, 5250, 4993, 28064.25, 28061.75, 28062.88, 2713, 2537, 0.00, 0.00
2026-7-30, 10:39:43.422003, 28059.75, 28108.50, 28055.00, 28102.25, 5250, 4832, 28081.38, 28088.58, 28081.75, 2636, 2614, 0.00, 0.00
2026-7-30, 10:44:14.446000, 28102.50, 28133.75, 28087.00, 28095.00, 5250, 4938, 28104.56, 28105.25, 28110.38, 2673, 2577, 0.00, 0.00
2026-7-30, 10:49:33.238000, 28095.25, 28122.25, 28049.25, 28095.75, 5250, 4913, 28090.63, 28089.08, 28085.75, 2378, 2872, 0.00, 0.00
2026-7-30, 10:53:09.431000, 28095.75, 28131.25, 28073.75, 28084.00, 5250, 4994, 28096.19, 28096.33, 28102.50, 2794, 2456, 0.00, 28136.25
2026-7-30, 10:59:09.776000, 28084.75, 28103.50, 28059.00, 28094.50, 5250, 4572, 28085.44, 28085.67, 28081.25, 2451, 2799, 0.00, 0.00
2026-7-30, 11:02:50.955000, 28094.50, 28165.75, 28094.25, 28141.00, 5250, 4631, 28123.88, 28133.67, 28130.00, 2289, 2961, 0.00, 0.00
2026-7-30, 11:07:11.142000, 28140.75, 28190.00, 28135.75, 28187.00, 5250, 4943, 28163.38, 28170.92, 28162.88, 2600, 2650, 0.00, 28195.00
2026-7-30, 11:13:57.212000, 28187.50, 28192.75, 28166.25, 28171.00, 5250, 4819, 28179.38, 28176.67, 28179.50, 2751, 2499, 0.00, 0.00
2026-7-30, 11:20:07.108001, 28170.50, 28186.25, 28144.00, 28156.25, 5250, 4967, 28164.25, 28162.17, 28165.13, 2656, 2594, 0.00, 0.00
2026-7-30, 11:27:16.664000, 28156.50, 28163.50, 28111.75, 28123.75, 5250, 4995, 28138.88, 28133.00, 28137.63, 2761, 2489, 0.00, 0.00
2026-7-30, 11:34:52.266001, 28123.75, 28141.50, 28072.00, 28084.75, 5250, 4948, 28105.50, 28099.42, 28106.75, 2669, 2581, 0.00, 0.00
2026-7-30, 11:41:34.844000, 28085.00, 28098.00, 28054.50, 28096.25, 5250, 4431, 28083.44, 28082.92, 28076.25, 2335, 2915, 0.00, 0.00
2026-7-30, 11:45:53.977000, 28095.25, 28128.00, 28078.25, 28126.25, 5250, 4938, 28106.94, 28110.83, 28103.13, 2414, 2836, 0.00, 0.00
2026-7-30, 11:52:30.537000, 28126.75, 28153.00, 28109.50, 28152.50, 5250, 4863, 28135.44, 28138.33, 28131.25, 2397, 2853, 0.00, 0.00
2026-7-30, 12:00:01.763001, 28152.50, 28174.00, 28140.50, 28169.25, 5250, 4989, 28159.06, 28161.25, 28157.25, 2664, 2586, 0.00, 0.00
2026-7-30, 12:06:15.573000, 28169.50, 28183.75, 28153.25, 28160.00, 5250, 4839, 28166.63, 28165.67, 28168.50, 2648, 2602, 0.00, 0.00
2026-7-30, 12:14:39.916000, 28159.25, 28207.75, 28156.25, 28187.25, 5250, 4782, 28177.63, 28183.75, 28182.00, 2586, 2664, 0.00, 0.00
2026-7-30, 12:22:21.394000, 28187.00, 28193.00, 28164.25, 28173.50, 5250, 4824, 28179.44, 28176.92, 28178.63, 2785, 2465, 0.00, 0.00
2026-7-30, 12:32:27.026000, 28173.50, 28181.00, 28139.50, 28153.50, 5250, 4980, 28161.88, 28158.00, 28160.25, 2796, 2454, 0.00, 0.00
2026-7-30, 12:40:36.948000, 28153.50, 28201.50, 28152.25, 28191.75, 5250, 5029, 28174.75, 28181.83, 28176.88, 2567, 2683, 0.00, 0.00
2026-7-30, 12:49:31.143001, 28191.75, 28208.50, 28165.50, 28181.25, 5250, 4643, 28186.75, 28185.08, 28187.00, 2819, 2431, 0.00, 0.00
2026-7-30, 12:58:35.802000, 28181.50, 28202.25, 28167.00, 28189.50, 5250, 5065, 28185.06, 28186.25, 28184.63, 2711, 2539, 0.00, 0.00
2026-7-30, 13:10:53.652001, 28189.50, 28205.00, 28162.25, 28172.50, 5250, 4902, 28182.31, 28179.92, 28183.63, 2809, 2441, 0.00, 0.00
2026-7-30, 13:21:03.372001, 28172.50, 28199.00, 28170.50, 28178.75, 5250, 4825, 28180.19, 28182.75, 28184.75, 2740, 2510, 0.00, 0.00
2026-7-30, 13:32:43.540002, 28178.75, 28185.75, 28148.50, 28152.25, 5250, 4904, 28166.31, 28162.17, 28167.13, 2842, 2408, 0.00, 0.00
2026-7-30, 13:42:53.726011, 28152.25, 28189.50, 28149.25, 28165.75, 5250, 4746, 28164.19, 28168.17, 28169.38, 2672, 2578, 0.00, 0.00
2026-7-30, 13:53:15.935001, 28165.75, 28200.25, 28154.75, 28200.00, 5250, 4641, 28180.19, 28185.00, 28177.50, 2327, 2923, 0.00, 0.00
