DateTime,Open,High,Low,Close,LegVWAP,DeltaIntensity
2026-07-15 07:30:27,29908.21,29939.50,29908.21,29927.56,0.00,-3.00
2026-07-15 07:31:41,29917.89,29951.00,29916.75,29931.88,0.00,-3.00
2026-07-15 07:33:25,29924.88,29956.25,29924.88,29943.19,0.00,-3.00
2026-07-15 07:35:25,29934.04,29960.50,29934.04,29950.50,0.00,-2.00
2026-07-15 07:38:10,29942.27,29953.00,29924.50,29938.88,0.00,-3.00
2026-07-15 07:40:51,29940.57,29971.25,29925.00,29947.69,0.00,-3.00
2026-07-15 07:42:57,29944.13,29973.75,29944.13,29961.44,0.00,-2.00
2026-07-15 07:44:18,29952.78,29956.50,29941.75,29949.94,0.00,-2.00
2026-07-15 07:47:51,29951.36,29979.75,29948.75,29964.75,0.00,-2.00
2026-07-15 07:50:20,29958.05,29989.75,29958.05,29981.38,0.00,-2.00
2026-07-15 07:52:48,29969.71,29990.00,29969.71,29985.06,0.00,-2.00
2026-07-15 07:56:20,29977.39,29995.25,29977.39,29989.81,0.00,-2.00
2026-07-15 07:59:23,29983.60,29991.25,29976.75,29983.50,0.00,-2.00
2026-07-15 08:01:47,29983.55,29999.00,29976.25,29987.75,0.00,-2.00
2026-07-15 08:07:03,29985.65,29999.75,29966.25,29983.31,0.00,-2.00
2026-07-15 08:10:05,29984.48,29984.48,29952.00,29960.56,0.00,-2.00
2026-07-15 08:13:05,29972.52,29972.52,29939.25,29948.25,0.00,-3.00
2026-07-15 08:16:05,29960.39,29960.39,29942.75,29948.38,0.00,-3.00
2026-07-15 08:20:29,29954.38,29954.38,29939.75,29944.88,0.00,-3.00
2026-07-15 08:24:14,29949.63,29953.50,29936.25,29942.81,0.00,-4.00
2026-07-15 08:27:17,29946.22,29956.00,29937.25,29946.94,0.00,-4.00
2026-07-15 08:29:17,29946.58,29966.75,29946.58,29957.06,0.00,-2.00
2026-07-15 08:30:00,29951.82,29973.00,29951.00,29958.56,0.00,-2.00
2026-07-15 08:30:03,29955.19,29976.75,29940.50,29961.69,0.00,2.00
2026-07-15 08:30:10,29958.44,29977.50,29958.44,29968.81,0.00,2.00
2026-07-15 08:30:25,29963.62,29967.25,29937.50,29952.06,0.00,2.00
